var,skew,kur,class
18046.715211451487,-1.4965760145136189,-0.033871656788512235,yes
16284.298161801145,-1.5101074584537073,-0.08296850611258379,yes
15486.399891508465,-1.50762088904505,-0.06704124910651899,yes
14503.387220272538,-1.5028890781344606,0.007506146810062233,yes
13588.201628807867,-1.5180483014102766,0.07051043430180501,yes
13143.800386527131,-1.4985785552007902,0.0366897144816898,yes
13359.370548493207,-1.487577569083595,-0.04580483655533193,yes
14302.934971318504,-1.49829021160434,-0.08833971144735196,yes
15727.143768188402,-1.5055863104573008,0.006064623126788549,yes
16004.160318883585,-1.4966921068267096,0.08608485098859676,yes
15706.135962832255,-1.4923027558556101,0.050302165406778634,yes
14111.212784621544,-1.503672052216088,-0.029310881423400652,yes
14605.72693537056,-1.5044643542272504,-0.0460565701702009,yes
15011.610444593109,-1.4971280346356797,-0.08059166798631148,yes
14044.332269116328,-1.5051873151190358,-0.009046782526010377,yes
14344.443062955821,-1.5012688253726185,0.02187219196865361,yes
15125.290280690244,-1.5007496770881101,-0.02084123214347694,yes
15783.733690653025,-1.487002553777716,-0.055817640941580995,yes
15601.83316058123,-1.4908170017873619,-0.06909367576824062,yes
15976.235786293806,-1.4985102650164082,-0.08067898265031231,yes
15312.934330504555,-1.5115094150402224,0.026354756841886363,yes
17191.657952229914,-1.5049374804556301,0.07629806905985557,yes
17515.510494300022,-1.486558521500776,0.07615613738043643,yes
15860.289249275114,-1.490071283291393,-0.031673118380337484,yes
14627.527371594315,-1.490545727611176,-0.08283929507832256,yes
14034.049162123156,-1.4975781253034768,-0.04084215423672158,yes
13817.07408271177,-1.4908438538917848,-0.022212643148229544,yes
14373.255411894836,-1.4900017154939804,-0.020441604036038275,yes
9262.30336807228,-1.4638991543128894,-0.10421210871619081,yes
9706.72750887613,-1.4772812970634692,-0.08438436917348056,yes
11235.892665650514,-1.4776872286774783,0.004826802537969306,yes
13123.09262789731,-1.48381689257838,0.04312510090272344,yes
13169.62393680058,-1.4992012760233115,-0.00010591478850344892,yes
12362.663561783656,-1.4894016856955106,-0.03455959725476525,yes
11799.269563024387,-1.502482730411415,-0.039538669972300856,yes
11733.995460349679,-1.5030128376243244,-0.02250642413051157,yes
11027.66605351145,-1.4981066465690753,-0.00967571577240099,yes
10507.74112304608,-1.4792275944827462,0.05537822348721279,yes
10772.811048352272,-1.484955683379152,0.026707606724052292,yes
11646.031851874595,-1.4970104035308633,-0.005348233849591582,yes
13100.153287331024,-1.4864707666076156,-0.030302281091708683,yes
13747.98702504367,-1.5004549005667467,-0.039471995906864385,yes
13714.326922632328,-1.5068928254789968,-0.03206434565034931,yes
13446.130672118663,-1.5022326100570342,-0.018588547681103455,yes
12368.87259655396,-1.496118367175908,-0.024056038027807872,yes
12956.41961142407,-1.5053992360256316,-0.007792911946273005,yes
13100.91902207665,-1.4994166170571028,0.015786611816952588,yes
13045.479475213799,-1.5049316899896787,0.027214877828840293,yes
14537.187900710598,-1.4843635054379054,0.0376909526201655,yes
15888.513787585827,-1.4799647928956035,0.020288215387187284,yes
15745.443381203844,-1.4793346753468573,-0.029804654557499748,yes
12726.226606112163,-1.5021697422785543,-0.04738184168202504,yes
12761.27867509824,-1.5041886579772883,-0.05788015717350284,yes
12569.403933382117,-1.4903495642786917,-0.03853204011986691,yes
12222.405442073206,-1.4707692785258457,0.013406062139754663,yes
11854.937236567908,-1.4979516990409176,0.01702304444648804,yes
10576.492597687438,-1.4550893907438607,0.04400090868734958,yes
25157.193212663486,-1.483042290351933,-0.01238059474523996,yes
35886.54926440657,-1.5091981425717136,0.012828741394418728,yes
42446.89221011469,-1.5078074378008304,0.018414249723527617,yes
41105.57795743237,-1.5141279068091593,-0.016367328476038712,yes
37267.30390655928,-1.5195949383239296,-0.03719765472512655,yes
33844.19023752484,-1.5117557486479287,-0.02601408843961414,yes
28455.906112045646,-1.4891707408105308,0.010612856731384717,yes
31454.139656399813,-1.4956389741071914,0.006920009911069015,yes
32418.39572059901,-1.5070984385463455,-0.00611312350606156,yes
33331.290550372345,-1.5169545129587083,-0.040132236726240784,yes
34807.78158334177,-1.5176442776654604,-0.028905094759513007,yes
36142.72224959377,-1.5065291439367006,-0.005795461228106917,yes
32071.64485873461,-1.4944979343573457,-0.031499219015246514,yes
30112.68876904292,-1.5235149939999493,-0.03389158129855684,yes
31022.40673702233,-1.5063448364376641,-0.012179961959415182,yes
33046.43124718184,-1.503445509922053,0.03546683856699884,yes
33846.034998057854,-1.5094423300851665,0.01386742856485499,yes
34431.92227898839,-1.5193898546273532,-0.029963196825511972,yes
33026.00424565713,-1.5216380271878587,-0.020058410272443174,yes
32470.153674532667,-1.5271862562041822,-0.02844874015856002,yes
31785.376179616367,-1.5220670237069112,-0.03010247993689338,yes
31292.21435902932,-1.5168128490792678,-0.008100645650884399,yes
35683.133526085585,-1.5049340643127826,0.0233745232908863,yes
31953.808527007877,-1.50942448248575,0.012560649297621546,yes
30770.351650282428,-1.516835249048511,0.033787025615364556,yes
32216.699807061093,-1.5168681021869692,0.05534768181505239,yes
31238.122174268545,-1.5152935834002133,0.05747208289201008,yes
29776.63999106617,-1.5089518863029663,-0.026214896627875635,yes
33478.86300442018,-1.5113663208834913,0.004612117538524182,yes
32621.324095705186,-1.5058511115246462,-0.028441138006834857,yes
32633.17584229873,-1.5165356832637868,-0.03187651991216263,yes
33684.21912571952,-1.5184903278721267,0.0050431707307368,yes
35182.86780315963,-1.5096231356939798,0.02963294643371376,yes
35531.54793596751,-1.525532501650855,-0.028222610181319687,yes
34016.03835610127,-1.5193414243785879,-0.03789213770726719,yes
33513.888206329764,-1.5190971084079192,-0.018165617362367097,yes
40399.831582812505,-1.5211936304416969,-0.026705377081252802,yes
39143.649899226904,-1.5196946774445996,0.0039024381196715585,yes
38264.74414704311,-1.5173554933285076,0.009836634069066529,yes
35973.22839725128,-1.5311781569291334,0.02530698784360567,yes
33036.505342455624,-1.5144450083443148,0.006696140247337175,yes
30982.43647498388,-1.5252927867944948,-0.049737776747107096,yes
30554.143004844074,-1.504566926195849,-0.043737066989160606,yes
38439.466935165285,-1.5155537761269584,0.03257987361622005,yes
17474.552699761705,-1.480348862669513,0.1161355371936171,yes
18198.78139120568,-1.4794030012026058,0.09304207431028506,yes
17107.540886010956,-1.4756840434859213,-0.03862344721007637,yes
13421.778477000304,-1.4796666839717414,-0.13188041625655372,yes
